iter	Logloss
0	0.6350794794
1	0.5765971749
2	0.5289408203
3	0.4794387598
4	0.4494187689
5	0.4134387603
6	0.3835247339
7	0.3653227291
8	0.3413231459
9	0.3186828958
10	0.2958094027
11	0.2830916852
12	0.2732913266
13	0.2595189874
14	0.249988681
15	0.2403855292
16	0.2325627527
17	0.2199154287
18	0.2142234277
19	0.2051008374
20	0.199023724
21	0.1921617144
22	0.1846404411
23	0.1733134781
24	0.1695425476
25	0.1663041279
26	0.1628214087
27	0.1567277257
28	0.1509746165
29	0.1475341739
30	0.1440476222
31	0.1421052972
32	0.1374358413
33	0.1353674633
34	0.1335113989
35	0.1318344865
36	0.130195953
37	0.1277462853
38	0.124902617
39	0.1232727341
40	0.1201269791
41	0.1187050819
42	0.116988734
43	0.1152855029
44	0.1126292718
45	0.1099982369
46	0.1091078073
47	0.1074147596
48	0.1048866957
49	0.1023392273
50	0.1000524816
51	0.09830723675
52	0.0965314379
53	0.09521347933
54	0.09467347345
55	0.09336758531
56	0.09248928165
57	0.0908048589
58	0.0899056705
59	0.0883840775
60	0.08743449917
61	0.08625182319
62	0.08447774718
9
62	0.05646517397
63	0.05582746455
64	0.05485205325
65	0.05362486571
66	0.05301325601
67	0.05247580915
68	0.05164345762
69	0.05068608689
70	0.05015064881
71	0.04897479522
72	0.04857945697
73	0.04774947382
74	0.0472804921
