iter	Passed	Remaining
0	17	8847
1	22	5652
2	31	5138
3	35	4376
4	102	10141
5	117	9666
6	121	8560
7	126	7772
8	131	7157
9	190	9351
10	212	9456
11	218	8887
12	223	8379
13	229	7970
14	234	7589
15	305	9227
16	316	8989
17	321	8611
18	327	8282
19	332	7984
20	400	9146
21	414	9012
22	420	8723
23	428	8500
24	496	9440
25	512	9349
26	518	9084
27	523	8825
28	528	8580
29	585	9172
30	611	9245
31	616	9020
32	623	8819
33	629	8621
34	697	9269
35	710	9160
36	715	8951
37	720	8754
38	725	8570
39	787	9053
40	806	9032
41	815	8889
42	821	8727
43	826	8564
44	832	8414
45	908	8967
46	916	8833
47	923	8697
48	929	8557
49	986	8874
50	1006	8864
51	1015	8745
52	1021	8615
53	1027	8489
54	1093	8846
55	1110	8806
56	1116	8676
57	1122	8552
58	1127	8428
59	1132	8306
60	1205	8678
61	1212	8569
62	1220	8465
1292	8806
64	1298	8686
65	1303	8571
66	1365	8823
67	1383	8786
68	1390	8688
69	1398	8588
70	1404	8487
71	1471	8750
72	1483	8677
73	1488	8569
74	1493	8462
